                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7823,                 4.2865,                 1.6653,                0.00497,                0.25308,                 0.0339,                0.02128,                 1.3347,                 4.1077,                 1.3089,                 0.0874,                 0.0014,                 0.0014
                      1,                 1.0662,                 3.6065,                 1.1081,                0.01262,                  0.646,                0.11099,                0.07433,                 1.0084,                 3.7858,                 1.0724,               0.072943,               0.001943,               0.001943
                      2,                0.98253,                 3.1264,                 1.0575,                0.01643,                   0.85,                0.23002,                0.16906,                0.92907,                 3.3979,                0.99019,               0.057496,               0.001496,               0.001496
